Volcano Number,Volcano Name,Country,Activity classification,Class,Sentinel-1 quality,Remote detections (Def/G/T),Detection Type,PEI,Primary volcano type,Activity evidence,Last known eruption,Region,Subregion,Latitude,Longitude,Elevation (m),Dominant rock type,Tectonic setting,Geological summary,,,,,,,,,,,,,,,,
211040,Stromboli,Italy,Active,A1,,"G, T",MODIS,3,Stratovolcano,Eruption observed,2021 C.E.,Mediterranean and Western Asia,Italy,38.789,15.213, 	924 ,Trachyandesite/Basaltic trachyandesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211041,Panarea,Italy,Quiescent Ground-based,B2,,,,,Stratovolcano,Evidence uncertain,Unknown,Mediterranean and Western Asia,Italy,38.638,15.064, 	399 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211042,Lipari,Italy,Inactive,C,,,,,Stratovolcano(es),Eruption dated,1230 C.E.,Mediterranean and Western Asia,Italy,38.490,14.933, 	590 ,Rhyolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211050,Vulcano,Italy,Quiescent,B1,,T,"Landsat, ASTER",,Stratovolcano(es),Eruption observed,1890 C.E.,Mediterranean and Western Asia,Italy,38.404,14.962, 	500 ,Trachybasalt/Tephrite basanite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211060,Etna,Italy,Active,A1,,"Def, G, T",MODIS,5,Stratovolcano(es),Eruption observed,2021 C.E.,Mediterranean and Western Asia,Italy,37.748,14.999," 	3,320 ",Trachybasalt/Tephrite basanite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211070,Campi Flegrei del Mar di Sicilia,Italy,Marine,–,,,,,Submarine,Eruption observed,1867 C.E.,Mediterranean and Western Asia,Italy,37.100,12.700, 	(8),Trachybasalt/Tephrite basanite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211071,Pantelleria,Italy,Quiescent,B1,,Def,,,Shield,Eruption observed,1891 C.E.,Mediterranean and Western Asia,Italy,36.770,12.020, 	836 ,Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
211080,Marsili,Italy,Marine,–,,,,,Submarine,Eruption dated,1050 B.C.E.,Mediterranean and Western Asia,Italy,39.284,14.399, 	(779),,,,,,,,,,,,,,,,,,,
211800,Amiata,Italy,Inactive,C,,,,,Lava dome(s),Unrest / Pleistocene,Unknown,Mediterranean and Western Asia,Italy,42.900,11.630," 	1,738 ",,Subduction zone/Continental crust (>25 km),"Amiata is a lava dome complex located about 20 km NW of Lago di Bolsena in the southern Tuscany region of Italy. The trachydacitic domes and associated lava flows were erupted along regional ENE–WSW-trending faults. The largest of the domes is Monte Amiata (La Vetta), a compound lava dome with a trachytic lava flow that extends to the east. A massive viscous trachydacitic lava flow, 5-km long and 4-km wide, is part of the basal complex and extends from beneath the southern base of the Corno de Bellaria dome. Radiometric dates indicate a major eruptive episode about 300,000 years ago. No eruptive activity has occurred during the Holocene, but thermal activity, including cinnabar mineralization, continues at a producing geothermal field near the town of Bagnore, at the SW end of the dome complex.",,,,,,,,,,,,,,,,
212020,Methana,Greece,Inactive,C,,,,,Lava dome(s),Eruption observed,258 B.C.E.,Mediterranean and Western Asia,Greece,37.615,23.336, 	760 ,Andesite/Basaltic andesite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
212030,Milos,Greece,Inactive,C,,,,,Stratovolcano(es),Eruption dated,140 C.E.,Mediterranean and Western Asia,Greece,36.699,24.439, 	751 ,Rhyolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
212040,Santorini,Greece,Quiescent,B1,,Def,,,Shield(s),Eruption observed,1950 C.E.,Mediterranean and Western Asia,Greece,36.404,25.396, 	367 ,Dacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
212050,Nisyros,Greece,Quiescent,B1,,Def,,,Stratovolcano,Eruption observed,1888 C.E.,Mediterranean and Western Asia,Greece,36.586,27.160, 	698 ,Dacite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
212051,Yali,Greece,Inactive,C,,,,,Lava dome(s),Evidence credible,Unknown,Mediterranean and Western Asia,Greece,36.671,27.140, 	180 ,Rhyolite,Subduction zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
212805,Kos,Greece,Quiescent,B1,,Def,,,Caldera(s),Unrest / Pleistocene,Unknown,Mediterranean and Western Asia,Greece,36.852,27.251, 	430 ,,Subduction zone/Continental crust (>25 km),"The island of Kos is dominantly non-volcanic but contains Miocene to Pleistocene volcanic centers. The Kamari caldera is of mid-Pleistocene age and contains the 1.0–0.55 million-year-old, post-caldera Zini lava dome. The formation of a large caldera deposited the widespread Kos Plateau Tuff (erupted about 160,000 years ago), which blankets much of the western half of Kos and originated from a stratovolcano between Kos and Nisyros islands. The caldera dimensions are uncertain, but may extend as much as 20 km from Kefalos Bay in SW Kos Island to Nisyros Island. Remnants of the preeruption stratovolcano are preserved on the islets of Pachia and Pyrgousa and as submarine volcanic rocks on Nisyros. Kos was included in the Catalog of Active Volcanoes of the World (Georgalas, 1962) based on its geothermal activity. Several solfatara fields are present, including Vromotopos at Kefalos Isthmus on the western side of the island and a group of thermal areas at the eastern side of Kos. Thermal activity consists of weak hydrogen sulfide emission, sulfur deposits, and two hot springs along the southeastern coast.",,,,,,,,,,,,,,,,
213000,Kula,Turkey,Inactive,C,,,,,Pyroclastic cone(s),Evidence credible,Unknown,Mediterranean and Western Asia,Turkey,38.580,28.520, 	750 ,Trachybasalt/Tephrite basanite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213001,Karapinar Field,Turkey,Inactive,C,,,,,Pyroclastic cone(s),Evidence credible,Unknown,Mediterranean and Western Asia,Turkey,37.667,33.600," 	1,302 ",Trachyandesite/Basaltic trachyandesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213002,Hasan Dagi,Turkey,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Mediterranean and Western Asia,Turkey,38.130,34.170," 	3,253 ",Dacite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213003,Gollu Dag,Turkey,Inactive,C,,,,,Lava dome,Evidence uncertain,Unknown,Mediterranean and Western Asia,Turkey,38.250,34.570," 	2,143 ",Rhyolite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213004,Acigol-Nevsehir,Turkey,Inactive,C,,,,,Caldera,Eruption dated,2080 B.C.E.,Mediterranean and Western Asia,Turkey,38.537,34.621," 	1,683 ",Rhyolite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213010,Erciyes Dagi,Turkey,Inactive,C,,,,,Stratovolcano,Eruption dated,6880 B.C.E.,Mediterranean and Western Asia,Turkey,38.531,35.447," 	3,864 ",Dacite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213011,Karaca Dag,Turkey,Inactive,C,,,,,Shield,Evidence credible,Unknown,Mediterranean and Western Asia,Turkey,37.670,39.830," 	1,957 ",Basalt/Picro-basalt,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213020,Nemrut Dagi,Turkey,Inactive,C,,,,,Stratovolcano,Eruption observed,1650 C.E.,Mediterranean and Western Asia,Turkey,38.654,42.229," 	2,948 ",Rhyolite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213030,Tenduruk Dagi,Turkey,Quiescent,B1,,"Def, T",ASTER,,Shield,Eruption observed,1855 C.E.,Mediterranean and Western Asia,Turkey,39.356,43.874," 	3,514 ",Basalt/Picro-basalt,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
213040,Ararat,Turkey,Inactive,C,,,,,Stratovolcano,Eruption observed,1840 C.E.,Mediterranean and Western Asia,Turkey,39.700,44.300," 	5,165 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214010,Elbrus,Russia,Inactive,C,,,,,Stratovolcano,Eruption dated,50 C.E.,Mediterranean and Western Asia,Western Asia,43.351,42.442," 	5,642 ",Dacite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214020,Kazbek,Georgia,Inactive,C,,,,,Stratovolcano,Eruption dated,750 B.C.E.,Mediterranean and Western Asia,Western Asia,42.700,44.500," 	5,050 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214050,Samsari Volcanic Center,Georgia,Inactive,C,,,,,Lava cone(s),Evidence uncertain,Unknown,Mediterranean and Western Asia,Western Asia,41.542,43.700," 	3,290 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214060,Aragats,Armenia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Mediterranean and Western Asia,Western Asia,40.530,44.200," 	4,095 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214070,Ghegham Volcanic Ridge,Armenia,Inactive,C,,,,,Volcanic field,Eruption dated,1900 B.C.E.,Mediterranean and Western Asia,Western Asia,40.283,45.000," 	3,597 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214080,Vaiyots-Sar,Armenia,Inactive,C,,,,,Pyroclastic cone(s),Eruption dated,2000 B.C.E.,Mediterranean and Western Asia,Western Asia,39.797,45.497," 	2,575 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214090,Porak,Armenia-Azerbaijan,Inactive,C,,,,,Stratovolcano,Eruption dated,778 B.C.E.,Mediterranean and Western Asia,Western Asia,40.028,45.740," 	3,029 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
214100,Tskhouk-Karckar,Armenia-Azerbaijan,Inactive,C,,,,,Pyroclastic cone(s),Eruption dated,3000 B.C.E.,Mediterranean and Western Asia,Western Asia,39.742,45.992," 	3,139 ",Andesite/Basaltic andesite,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221010,"Tair, Jebel at",Yemen,Quiescent,A2,,"Def, G, T",MODIS,2,Stratovolcano,Eruption observed,2008 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,15.550,41.830, 	244 ,Trachybasalt/Tephrite basanite,Rift zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
221020,Zubair Group,Yemen,Quiescent,A2,,"Def, G",,2,Shield,Eruption observed,2013 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,15.050,42.180, 	191 ,Basalt/Picro-basalt,Rift zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
221021,Zukur,Yemen,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.020,42.750, 	624 ,Basalt/Picro-basalt,Rift zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
221022,Hanish,Yemen,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.720,42.730, 	422 ,Basalt/Picro-basalt,Rift zone/Oceanic crust (<15 km),,,,,,,,,,,,,,,,,
221040,Alid,Eritrea,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,14.880,39.920, 	904 ,Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221041,Dallol,Ethiopia,Quiescent,A2,,Def,,2,Explosion crater(s),Eruption observed,2011 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,14.242,40.300, 	(48),No data (checked),Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221050,Gada Ale,Ethiopia,Quiescent,B1,,Def,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.975,40.408, 	287 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221060,Alu-Dalafilla,Ethiopia,Quiescent,A2,,"Def, G, T",MODIS,2,Fissure vent(s),Eruption observed,2008 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,13.793,40.553, 	578 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221071,Bora Ale,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.725,40.600, 	668 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221080,Erta Ale,Ethiopia,Active,A1,,"Def, G, T",MODIS,3,Shield,Eruption observed,2020 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,13.600,40.670, 	613 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221090,Ale Bagu,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.512,40.631, 	988 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221091,Hayli Gubbi,Ethiopia,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.510,40.722, 	493 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221100,Dubbi,Eritrea,Inactive,C,,,,,Stratovolcano,Eruption observed,1861 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,13.579,41.809," 	1,625 ",Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221101,Nabro,Eritrea,Active,A2,,"Def, G, T",MODIS,2,Stratovolcano,Eruption observed,2012 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,13.370,41.700," 	2,218 ",Trachyte/Trachydacite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221102,Mallahle,Ethiopia-Eritrea,Inactive,C,,,,,Stratovolcano,Evidence uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.270,41.650," 	1,875 ",Trachyte/Trachydacite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221103,Sork Ale,Ethiopia-Eritrea,Inactive,C,,,,,Stratovolcano,Evidence uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.180,41.725," 	1,611 ",Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221104,Asavyo,Ethiopia,Quiescent,B1,,Def,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.098,41.599," 	1,338 ",Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221105,Mat Ala,Ethiopia,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.106,41.161, 	493 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221106,Tat Ali,Ethiopia,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.284,41.063, 	655 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221107,Borawli,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.304,40.987, 	784 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221110,Afdera,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.088,40.853," 	1,250 ",Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221111,Ma Alalta,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,13.013,40.185," 	1,745 ",Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221112,Alayta,Ethiopia,Inactive,C,,,,,Shield,Eruption observed,1915 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,12.888,40.573," 	1,496 ",Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221113,Dabbahu,Ethiopia,Active,A1,,Def,,3,Stratovolcano,Eruption observed,2005 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,12.595,40.480," 	1,401 ",Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221114,Dabbayra,Ethiopia,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.380,40.070," 	1,302 ",Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221115,Manda Hararo,Ethiopia,Active,A1,,"Def, G, T",MODIS,2,Shield(s),Eruption observed,2009 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,12.170,40.820, 	600 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221116,Groppo,Ethiopia,Inactive,C,,,,,Volcanic field,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.816,40.242, 	852 ,,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221120,Kurub,Ethiopia,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.880,41.208, 	625 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221122,Manda-Inakir,Ethiopia-Djibouti,Inactive,C,,,,,Fissure vent(s),Eruption observed,1928 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,12.380,42.200, 	600 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221123,Mousa Alli,Ethiopia-Eritrea-Djibouti,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.469,42.404," 	1,993 ",Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221124,Gufa,Eritrea-Djibouti,Inactive,C,,,,,Volcanic field,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.550,42.530, 	600 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221125,Assab Volcanic Field,Eritrea,Inactive,C,,,,,Volcanic field,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,12.950,42.430, 	987 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221126,Ardoukoba,Djibouti,Inactive,C,,,,,Fissure vent(s),Eruption observed,1978 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,11.580,42.470, 	298 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221127,Manda Gargori,Ethiopia,Inactive,C,,,,,Fissure vent(s),Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.750,41.480, 	700 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221141,Dama Ali,Ethiopia,Inactive,C,,,,,Shield,Eruption observed,1631 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,11.280,41.630," 	1,068 ",Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221150,Gabillema,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,11.080,41.270," 	1,459 ",Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221151,Yangudi,Ethiopia,Inactive,C,,,,,Complex,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.580,41.042," 	1,383 ",Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221160,Ayelu,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.082,40.702," 	2,145 ",Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221170,Adwa,Ethiopia,Inactive,C,,,,,Stratovolcano,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,10.063,40.831," 	1,670 ",Rhyolite,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221171,Hertali,Ethiopia,Quiescent,B1,,Def,,,Fissure vent,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.780,40.330, 	900 ,Basalt/Picro-basalt,Rift zone/Intermediate crust (15–25 km),,,,,,,,,,,,,,,,,
221172,Liado Hayk,Ethiopia,Inactive,C,,,,,Maar(s),Evidence uncertain,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.570,40.280, 	878 ,No data (checked),Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221180,Dofan,Ethiopia,Inactive,C,,,,,Shield,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,9.350,40.130," 	1,151 ",Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221190,Fentale,Ethiopia,Quiescent,B1,,Def,,,Stratovolcano,Eruption observed,1820 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,8.975,39.930," 	2,007 ",Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221191,Beru,Ethiopia,Inactive,C,,,,,Volcanic field,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.950,39.750," 	1,100 ",Basalt/Picro-basalt,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221200,Kone,Ethiopia,Inactive,C,,,,,Caldera(s),Eruption observed,1820 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,8.788,39.701," 	1,380 ",Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221210,Boset-Bericha,Ethiopia,Inactive,C,,,,,Stratovolcano(es),Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.558,39.475," 	2,447 ",Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221220,Bishoftu Volcanic Field,Ethiopia,Inactive,C,,,,,Fissure vent(s),Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.780,38.980," 	1,850 ",Basalt/Picro-basalt,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221222,Sodore,Ethiopia,Inactive,C,,,,,Pyroclastic cone(s),Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.430,39.350," 	1,765 ",Basalt/Picro-basalt,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221230,Gedamsa,Ethiopia,Inactive,C,,,,,Caldera,Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.357,39.188," 	1,873 ",Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221240,Bora-Bericcio,Ethiopia,Quiescent,B1,,Def,,,Pyroclastic cone(s),Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.221,39.050," 	2,267 ",Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221250,Tullu Moye,Ethiopia,Quiescent,B1,,Def,,,Pyroclastic cone,Eruption observed,1900 C.E.,Africa and Red Sea,Africa (northeastern) and Red Sea,8.159,39.137," 	2,343 ",Rhyolite,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221251,Unnamed,Ethiopia,Inactive,C,,,,,Fissure vent(s),Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,8.013,39.062," 	1,886 ",Basalt/Picro-basalt,Intraplate/Continental crust (>25 km),,,,,,,,,,,,,,,,,
221252,East Ziway,Ethiopia,Inactive,C,,,,,Fissure vent(s),Evidence credible,Unknown,Africa and Red Sea,Africa (northeastern) and Red Sea,7.874,38.902," 	1,889 ",Basalt/Picro-basalt,Rift zone/Continental crust (>25 km),,,,,,,,,,,,,,,,,
